98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,39,8,40,10,0,0,1,0,0,0,2,0,0,0,0,0,0,0
1,0,1,25,60,4,4,0,1,0,0,0,3,0,1,0,0,0,0,0
0,0,3,10,70,4,5,1,0,0,0,0,6,0,1,0,0,0,0,0
0,0,15,2,27,52,3,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,6,7,17,7,32,6,6,0,2,0,9,2,5,0,0,0,1,0
0,1,0,0,0,0,2,69,20,0,0,0,4,0,2,0,1,0,0,1
0,0,0,0,0,1,1,1,84,0,0,0,4,3,2,0,1,0,2,1
0,0,0,0,0,2,1,0,0,77,15,0,0,0,2,0,1,0,2,0
0,0,0,0,0,6,1,0,0,0,88,0,0,0,4,0,0,0,1,0
0,0,0,4,4,3,0,0,1,0,0,81,1,0,1,0,3,0,2,0
0,0,0,5,16,2,3,1,6,0,0,0,61,0,5,0,0,0,1,0
0,0,0,0,1,6,0,0,2,0,0,0,1,67,12,0,0,0,11,0
0,0,0,1,2,2,1,0,0,0,0,0,8,3,79,0,0,0,4,0
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,87,0,1,5,4
0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,0,87,0,5,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,90,5,1
0,0,0,0,1,4,1,1,0,0,0,0,2,1,6,1,7,3,72,1
0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,64,2,3,6,21
